transaction_id,date,customer_id,product_name,category,quantity,unit_price,total_amount,region,sales_rep,quarter,month,year,discount_percent
TXN_349565,2024-08-27,Customer_036,Widget A,Accessories,4,71.59,286.37,West,Bob Smith,Q3,August,2024,0.0
TXN_354801,2025-04-30,Customer_061,Tool Pro,Tools,4,67.82,271.29,West,Bob Smith,Q2,April,2025,13.2
TXN_589710,2024-09-20,Customer_094,Gadget Y,Tools,1,428.47,428.47,North,Alice Johnson,Q3,September,2024,14.6
TXN_299448,2024-01-13,Customer_069,Widget B,Electronics,2,1326.47,2652.94,West,Bob Smith,Q1,January,2024,0.0
TXN_179046,2024-07-05,Customer_057,Gadget Y,Electronics,3,188.9,566.69,Central,Alice Johnson,Q3,July,2024,20.0
TXN_274389,2023-10-09,Customer_053,Widget A,Electronics,5,80.09,400.46,West,David Wilson,Q4,October,2023,8.0
TXN_102260,2023-11-23,Customer_050,Widget B,Tools,1,320.2,320.2,East,David Wilson,Q4,November,2023,13.9
TXN_610311,2025-04-15,Customer_020,Tool Lite,Accessories,2,406.21,812.42,South,Carol Davis,Q2,April,2025,1.2
TXN_428838,2025-04-01,Customer_008,Widget A,Accessories,3,28.52,85.57,North,Eva Brown,Q2,April,2025,0.0
TXN_632496,2025-03-20,Customer_011,Widget B,Electronics,2,216.03,432.06,South,Alice Johnson,Q1,March,2025,0.0
TXN_225710,2025-08-15,Customer_073,Widget B,Tools,4,70.6,282.38,South,Eva Brown,Q3,August,2025,0.0
TXN_789305,2025-06-19,Customer_075,Widget A,Tools,3,234.51,703.54,Central,Eva Brown,Q2,June,2025,0.0
TXN_850981,2024-06-17,Customer_041,Widget B,Accessories,5,23.42,117.1,South,Carol Davis,Q2,June,2024,0.0
TXN_579434,2025-08-11,Customer_041,Tool Lite,Tools,3,28.73,86.18,North,Alice Johnson,Q3,August,2025,0.0
TXN_663750,2025-04-22,Customer_028,Widget A,Electronics,1,540.81,540.81,Central,Carol Davis,Q2,April,2025,7.0
TXN_398830,2023-12-03,Customer_021,Widget B,Tools,3,59.9,179.71,West,Eva Brown,Q4,December,2023,0.0
TXN_108203,2025-06-11,Customer_086,Tool Lite,Accessories,3,224.25,672.74,Central,Carol Davis,Q2,June,2025,0.0
TXN_221035,2024-01-08,Customer_014,Widget B,Tools,3,41.42,124.26,Central,Bob Smith,Q1,January,2024,12.1
TXN_765046,2024-09-09,Customer_034,Widget B,Accessories,5,20.51,102.53,Central,David Wilson,Q3,September,2024,18.2
TXN_544151,2023-11-15,Customer_036,Widget A,Accessories,3,80.8,242.4,North,Alice Johnson,Q4,November,2023,0.0
TXN_269430,2024-02-04,Customer_095,Tool Lite,Tools,1,68.99,68.99,West,Eva Brown,Q1,February,2024,0.0
TXN_178898,2025-04-20,Customer_089,Widget A,Electronics,5,150.06,750.32,South,Eva Brown,Q2,April,2025,7.4
TXN_233636,2025-04-11,Customer_006,Widget B,Tools,5,129.52,647.58,East,Carol Davis,Q2,April,2025,0.0
TXN_815198,2023-11-03,Customer_032,Gadget X,Electronics,4,121.9,487.62,North,Carol Davis,Q4,November,2023,0.0
TXN_262060,2024-11-13,Customer_031,Tool Pro,Accessories,4,247.77,991.07,South,Bob Smith,Q4,November,2024,0.0
TXN_448321,2023-10-19,Customer_053,Widget B,Accessories,4,44.91,179.66,South,Carol Davis,Q4,October,2023,14.0
TXN_333238,2024-10-19,Customer_026,Widget A,Tools,8,47.86,382.9,West,Carol Davis,Q4,October,2024,0.0
TXN_792094,2024-05-14,Customer_025,Widget B,Electronics,1,521.76,521.76,West,Carol Davis,Q2,May,2024,1.4
TXN_634150,2024-07-05,Customer_052,Gadget X,Accessories,3,82.77,248.3,Central,Carol Davis,Q3,July,2024,0.0
TXN_708792,2024-01-20,Customer_034,Gadget X,Electronics,1,245.2,245.2,North,Alice Johnson,Q1,January,2024,0.0
TXN_557592,2024-09-11,Customer_078,Tool Lite,Tools,4,33.03,132.12,Central,Alice Johnson,Q3,September,2024,0.0
TXN_146542,2025-05-06,Customer_091,Widget B,Tools,1,288.64,288.64,West,Alice Johnson,Q2,May,2025,0.0
TXN_877991,2025-03-28,Customer_095,Tool Lite,Accessories,5,550.79,2753.97,South,Carol Davis,Q1,March,2025,0.0
TXN_429164,2025-08-04,Customer_085,Gadget X,Accessories,1,760.46,760.46,North,Carol Davis,Q3,August,2025,0.0
TXN_521947,2025-08-06,Customer_090,Gadget Y,Tools,2,334.23,668.47,East,Eva Brown,Q3,August,2025,8.4
TXN_282480,2024-10-16,Customer_079,Tool Lite,Accessories,4,191.77,767.1,Central,Carol Davis,Q4,October,2024,0.0
TXN_320392,2023-09-24,Customer_056,Gadget X,Tools,2,1178.9,2357.79,Central,Eva Brown,Q3,September,2023,0.0
TXN_808446,2025-01-12,Customer_028,Gadget Y,Tools,1,634.38,634.38,Central,David Wilson,Q1,January,2025,0.0
TXN_397571,2024-03-15,Customer_066,Tool Lite,Electronics,1,254.54,254.54,Central,Carol Davis,Q1,March,2024,19.0
TXN_335552,2024-05-21,Customer_026,Tool Lite,Tools,2,1049.13,2098.26,South,Alice Johnson,Q2,May,2024,19.7
TXN_534572,2025-06-10,Customer_081,Widget A,Tools,1,2064.02,2064.02,Central,Bob Smith,Q2,June,2025,0.0
TXN_355836,2024-10-21,Customer_019,Gadget Y,Tools,5,19.31,96.53,North,Alice Johnson,Q4,October,2024,0.0
TXN_643118,2024-05-05,Customer_060,Widget B,Accessories,1,344.6,344.6,North,Eva Brown,Q2,May,2024,17.0
TXN_800005,2025-01-03,Customer_068,Widget B,Tools,5,35.42,177.09,Central,Eva Brown,Q1,January,2025,0.0
TXN_629298,2024-12-20,Customer_055,Tool Pro,Accessories,4,390.87,1563.49,Central,David Wilson,Q4,December,2024,0.0
TXN_888295,2025-01-22,Customer_032,Gadget Y,Tools,1,346.48,346.48,East,Eva Brown,Q1,January,2025,0.0
TXN_181247,2024-05-25,Customer_092,Gadget X,Tools,1,374.02,374.02,East,Bob Smith,Q2,May,2024,6.4
TXN_258157,2025-03-30,Customer_030,Widget A,Electronics,1,151.51,151.51,West,Bob Smith,Q1,March,2025,0.0
TXN_446954,2023-11-28,Customer_070,Gadget Y,Tools,3,96.97,290.91,West,David Wilson,Q4,November,2023,16.7
TXN_120480,2024-10-26,Customer_098,Tool Pro,Accessories,3,330.23,990.68,Central,David Wilson,Q4,October,2024,0.0
TXN_994905,2024-09-18,Customer_054,Gadget X,Tools,4,212.94,851.75,Central,Eva Brown,Q3,September,2024,0.0
TXN_386193,2024-05-06,Customer_056,Gadget Y,Electronics,5,148.55,742.76,West,Alice Johnson,Q2,May,2024,0.0
TXN_859359,2025-08-08,Customer_022,Tool Lite,Tools,4,81.67,326.69,West,Bob Smith,Q3,August,2025,0.0
TXN_720644,2025-03-23,Customer_073,Widget A,Tools,2,358.21,716.41,North,Alice Johnson,Q1,March,2025,0.0
TXN_152727,2024-02-09,Customer_034,Gadget Y,Electronics,2,1092.28,2184.57,West,Carol Davis,Q1,February,2024,6.5
TXN_364525,2024-10-16,Customer_011,Gadget X,Tools,4,292.64,1170.55,West,Alice Johnson,Q4,October,2024,0.0
TXN_781725,2023-11-16,Customer_009,Gadget X,Electronics,4,65.17,260.66,North,Alice Johnson,Q4,November,2023,0.0
TXN_259784,2024-04-15,Customer_031,Widget A,Accessories,3,133.3,399.89,South,David Wilson,Q2,April,2024,0.0
TXN_833442,2025-04-23,Customer_033,Widget B,Tools,2,257.71,515.41,East,Bob Smith,Q2,April,2025,0.0
TXN_213349,2024-01-19,Customer_075,Widget B,Tools,1,194.4,194.4,North,Carol Davis,Q1,January,2024,0.0
TXN_307963,2024-10-12,Customer_010,Gadget Y,Accessories,4,223.94,895.77,Central,Bob Smith,Q4,October,2024,15.4
TXN_934904,2025-08-24,Customer_073,Tool Pro,Electronics,4,65.7,262.8,North,Carol Davis,Q3,August,2025,0.0
TXN_630538,2025-08-01,Customer_083,Gadget X,Electronics,1,298.17,298.17,East,Alice Johnson,Q3,August,2025,0.0
TXN_479781,2025-02-06,Customer_082,Widget A,Tools,1,321.27,321.27,West,Bob Smith,Q1,February,2025,0.0
TXN_745830,2025-03-11,Customer_069,Tool Lite,Tools,5,230.11,1150.55,West,David Wilson,Q1,March,2025,0.0
TXN_993085,2025-05-22,Customer_032,Gadget X,Tools,1,872.06,872.06,North,Carol Davis,Q2,May,2025,0.0
TXN_739979,2024-05-30,Customer_086,Gadget Y,Accessories,2,216.27,432.53,West,Carol Davis,Q2,May,2024,17.0
TXN_472060,2024-03-28,Customer_034,Gadget Y,Electronics,6,179.78,1078.69,East,Carol Davis,Q1,March,2024,0.0
TXN_110644,2025-09-11,Customer_067,Gadget X,Accessories,2,180.53,361.07,South,Alice Johnson,Q3,September,2025,8.1
TXN_599219,2025-04-14,Customer_083,Widget B,Accessories,3,356.99,1070.96,West,David Wilson,Q2,April,2025,0.0
TXN_524045,2023-12-28,Customer_089,Gadget X,Electronics,3,246.04,738.13,South,Carol Davis,Q4,December,2023,0.0
TXN_656711,2024-10-05,Customer_045,Gadget Y,Accessories,8,230.45,1843.64,West,Eva Brown,Q4,October,2024,0.0
TXN_421517,2025-09-12,Customer_033,Gadget Y,Tools,4,93.7,374.8,South,Alice Johnson,Q3,September,2025,0.0
TXN_661894,2024-08-12,Customer_098,Widget A,Accessories,5,60.85,304.23,South,Bob Smith,Q3,August,2024,9.7
TXN_396745,2025-05-19,Customer_013,Tool Pro,Accessories,5,121.66,608.32,South,Carol Davis,Q2,May,2025,3.6
TXN_232731,2023-10-08,Customer_036,Tool Lite,Accessories,5,47.36,236.79,North,Alice Johnson,Q4,October,2023,0.0
TXN_889359,2025-09-07,Customer_063,Widget B,Accessories,6,65.62,393.72,North,Alice Johnson,Q3,September,2025,0.0
TXN_457256,2025-01-16,Customer_024,Gadget Y,Tools,2,76.34,152.68,North,Carol Davis,Q1,January,2025,0.0
TXN_520172,2025-01-25,Customer_063,Widget A,Electronics,2,215.38,430.76,North,Eva Brown,Q1,January,2025,0.0
TXN_950544,2023-11-17,Customer_073,Widget B,Electronics,1,2061.1,2061.1,East,Alice Johnson,Q4,November,2023,0.0
TXN_735770,2024-01-23,Customer_077,Tool Pro,Tools,4,348.78,1395.13,Central,Bob Smith,Q1,January,2024,0.0
TXN_411797,2024-10-17,Customer_076,Gadget Y,Tools,5,13.9,69.5,West,Carol Davis,Q4,October,2024,0.0
TXN_204053,2023-11-24,Customer_098,Tool Pro,Accessories,4,193.8,775.19,South,Bob Smith,Q4,November,2023,1.6
TXN_178711,2024-05-26,Customer_021,Widget B,Accessories,2,313.12,626.24,North,David Wilson,Q2,May,2024,0.0
TXN_134225,2025-05-24,Customer_030,Gadget Y,Tools,4,23.47,93.89,East,Carol Davis,Q2,May,2025,0.0
TXN_344762,2024-12-31,Customer_034,Widget A,Accessories,1,854.09,854.09,Central,Bob Smith,Q4,December,2024,0.0
TXN_256226,2025-04-03,Customer_035,Widget B,Accessories,1,237.4,237.4,South,Alice Johnson,Q2,April,2025,15.9
TXN_402630,2025-05-25,Customer_057,Tool Lite,Accessories,2,51.12,102.24,North,David Wilson,Q2,May,2025,0.0
TXN_624783,2025-09-09,Customer_070,Gadget Y,Tools,1,427.29,427.29,West,David Wilson,Q3,September,2025,0.8
TXN_733039,2024-12-09,Customer_033,Tool Lite,Tools,2,21.4,42.79,North,Alice Johnson,Q4,December,2024,13.5
TXN_901909,2025-05-05,Customer_087,Tool Pro,Electronics,3,180.28,540.85,East,Eva Brown,Q2,May,2025,15.1
TXN_563711,2025-01-17,Customer_036,Tool Pro,Accessories,3,129.38,388.13,South,Eva Brown,Q1,January,2025,0.0
TXN_464863,2025-02-08,Customer_053,Widget A,Tools,1,1170.46,1170.46,East,Carol Davis,Q1,February,2025,0.0
TXN_827369,2024-03-06,Customer_064,Gadget X,Tools,4,78.62,314.49,East,David Wilson,Q1,March,2024,0.0
TXN_192337,2025-04-09,Customer_041,Widget A,Tools,2,177.49,354.99,East,Carol Davis,Q2,April,2025,15.5
TXN_668950,2025-03-03,Customer_060,Widget A,Accessories,1,155.16,155.16,West,Alice Johnson,Q1,March,2025,7.2
TXN_896907,2025-02-15,Customer_007,Tool Lite,Tools,1,62.54,62.54,South,Carol Davis,Q1,February,2025,0.0
TXN_608257,2024-07-14,Customer_016,Gadget Y,Accessories,5,29.36,146.78,North,Eva Brown,Q3,July,2024,0.0
TXN_677596,2025-09-19,Customer_002,Widget B,Tools,2,2167.18,4334.36,Central,David Wilson,Q3,September,2025,19.8
TXN_779172,2024-01-18,Customer_020,Gadget Y,Electronics,3,296.72,890.15,West,Carol Davis,Q1,January,2024,0.0
TXN_595158,2024-06-29,Customer_032,Gadget Y,Tools,1,69.74,69.74,West,Eva Brown,Q2,June,2024,3.8
TXN_243139,2025-05-29,Customer_009,Tool Pro,Accessories,1,1062.56,1062.56,East,David Wilson,Q2,May,2025,0.0
TXN_396578,2025-02-24,Customer_093,Gadget X,Electronics,2,89.24,178.48,East,Eva Brown,Q1,February,2025,0.0
TXN_568238,2025-07-30,Customer_069,Gadget Y,Electronics,3,56.68,170.04,West,Carol Davis,Q3,July,2025,0.0
TXN_437408,2025-04-02,Customer_025,Gadget Y,Tools,3,198.67,596.01,South,Eva Brown,Q2,April,2025,0.0
TXN_880879,2024-11-17,Customer_061,Widget A,Tools,5,67.45,337.24,West,David Wilson,Q4,November,2024,0.0
TXN_138817,2025-07-22,Customer_017,Widget B,Tools,3,76.46,229.39,Central,Eva Brown,Q3,July,2025,0.0
TXN_651499,2024-01-04,Customer_059,Gadget Y,Electronics,3,39.5,118.49,North,Bob Smith,Q1,January,2024,0.0
TXN_592296,2025-07-25,Customer_034,Widget B,Electronics,1,6527.49,6527.49,East,Eva Brown,Q3,July,2025,0.0
TXN_993744,2025-07-20,Customer_087,Widget A,Tools,1,56.39,56.39,Central,David Wilson,Q3,July,2025,0.0
TXN_667296,2025-06-26,Customer_005,Tool Lite,Tools,5,35.36,176.78,Central,Alice Johnson,Q2,June,2025,13.7
TXN_194769,2024-07-14,Customer_056,Widget B,Accessories,6,100.67,604.0,North,Alice Johnson,Q3,July,2024,0.0
TXN_148225,2025-09-03,Customer_042,Gadget X,Electronics,4,109.98,439.92,North,Carol Davis,Q3,September,2025,0.0
TXN_656968,2024-12-08,Customer_053,Widget B,Electronics,1,314.19,314.19,Central,Bob Smith,Q4,December,2024,1.6
TXN_352528,2024-10-19,Customer_064,Tool Pro,Accessories,5,145.89,729.44,Central,Bob Smith,Q4,October,2024,12.8
TXN_109853,2025-01-06,Customer_060,Gadget X,Accessories,3,302.83,908.48,East,Eva Brown,Q1,January,2025,8.8
TXN_769975,2024-09-11,Customer_055,Tool Pro,Tools,5,24.92,124.61,East,David Wilson,Q3,September,2024,0.0
TXN_211834,2024-04-14,Customer_031,Gadget Y,Tools,3,95.66,286.97,West,Eva Brown,Q2,April,2024,0.0
TXN_123005,2024-07-22,Customer_085,Tool Lite,Tools,4,134.28,537.13,West,Carol Davis,Q3,July,2024,17.3
TXN_620856,2023-11-13,Customer_037,Tool Pro,Accessories,2,1369.24,2738.47,South,Eva Brown,Q4,November,2023,0.0
TXN_751051,2024-05-05,Customer_033,Tool Lite,Electronics,3,340.82,1022.45,South,Alice Johnson,Q2,May,2024,0.0
TXN_926918,2025-07-16,Customer_057,Widget A,Tools,2,301.54,603.07,North,Eva Brown,Q3,July,2025,0.0
TXN_442589,2024-02-05,Customer_096,Widget A,Tools,5,41.39,206.97,West,Bob Smith,Q1,February,2024,15.7
TXN_385765,2024-10-02,Customer_022,Tool Pro,Accessories,2,441.25,882.51,East,David Wilson,Q4,October,2024,0.0
TXN_943298,2024-07-22,Customer_015,Tool Lite,Tools,3,127.59,382.78,West,Alice Johnson,Q3,July,2024,19.3
TXN_516716,2025-08-16,Customer_072,Tool Lite,Accessories,3,173.67,521.0,East,Alice Johnson,Q3,August,2025,0.0
TXN_229592,2023-10-08,Customer_059,Gadget X,Accessories,4,419.55,1678.22,East,Carol Davis,Q4,October,2023,0.0
TXN_807617,2025-07-08,Customer_030,Gadget X,Electronics,5,145.6,727.98,West,Alice Johnson,Q3,July,2025,0.0
TXN_332120,2025-04-20,Customer_083,Gadget X,Accessories,2,149.29,298.58,North,David Wilson,Q2,April,2025,0.0
TXN_222343,2024-07-29,Customer_018,Tool Lite,Tools,2,481.98,963.96,North,Alice Johnson,Q3,July,2024,0.0
TXN_346205,2025-02-09,Customer_069,Widget A,Electronics,4,20.53,82.11,South,David Wilson,Q1,February,2025,0.0
TXN_666432,2025-08-10,Customer_054,Tool Lite,Accessories,2,21.59,43.18,Central,Bob Smith,Q3,August,2025,0.0
TXN_745558,2025-07-25,Customer_053,Widget A,Tools,4,78.88,315.53,East,Alice Johnson,Q3,July,2025,0.0
TXN_347582,2024-05-03,Customer_047,Gadget Y,Tools,1,307.13,307.13,North,Carol Davis,Q2,May,2024,0.0
TXN_517479,2025-07-15,Customer_036,Gadget X,Electronics,3,48.63,145.88,South,Alice Johnson,Q3,July,2025,0.0
TXN_322409,2025-01-01,Customer_083,Widget A,Accessories,3,180.35,541.06,Central,Alice Johnson,Q1,January,2025,6.7
TXN_171942,2024-01-30,Customer_098,Tool Pro,Electronics,2,110.68,221.36,Central,Bob Smith,Q1,January,2024,0.0
TXN_926952,2024-05-19,Customer_077,Gadget X,Electronics,1,554.24,554.24,North,Carol Davis,Q2,May,2024,0.0
TXN_362829,2024-02-19,Customer_023,Widget B,Accessories,2,2108.3,4216.6,North,Alice Johnson,Q1,February,2024,7.2
TXN_116547,2024-05-24,Customer_023,Tool Pro,Tools,4,50.0,200.01,East,Alice Johnson,Q2,May,2024,8.4
TXN_599380,2024-01-18,Customer_058,Tool Lite,Electronics,4,86.25,345.0,East,Eva Brown,Q1,January,2024,0.0
TXN_744986,2024-12-29,Customer_006,Tool Pro,Electronics,1,426.81,426.81,Central,Carol Davis,Q4,December,2024,0.0
TXN_988456,2023-10-25,Customer_052,Widget A,Tools,1,655.45,655.45,West,Alice Johnson,Q4,October,2023,0.0
TXN_437758,2024-12-21,Customer_078,Widget A,Electronics,2,84.76,169.53,South,Alice Johnson,Q4,December,2024,12.5
TXN_440981,2025-05-15,Customer_049,Tool Pro,Accessories,2,179.07,358.15,Central,Eva Brown,Q2,May,2025,10.1
TXN_219971,2024-12-07,Customer_084,Widget A,Accessories,4,149.72,598.88,Central,Bob Smith,Q4,December,2024,0.0
TXN_967611,2024-05-14,Customer_059,Gadget Y,Tools,2,68.43,136.86,West,David Wilson,Q2,May,2024,0.0
TXN_797416,2024-08-09,Customer_033,Gadget Y,Tools,1,746.9,746.9,East,Bob Smith,Q3,August,2024,0.0
TXN_972176,2025-01-21,Customer_011,Widget A,Electronics,4,15.19,60.77,North,David Wilson,Q1,January,2025,14.8
TXN_714953,2024-02-04,Customer_072,Tool Pro,Electronics,3,659.66,1978.97,Central,Carol Davis,Q1,February,2024,0.0
TXN_886730,2024-11-17,Customer_055,Gadget X,Accessories,3,15.26,45.78,North,Carol Davis,Q4,November,2024,0.0
TXN_632060,2024-09-18,Customer_028,Widget A,Accessories,5,440.11,2200.54,South,David Wilson,Q3,September,2024,2.2
TXN_899649,2025-04-15,Customer_036,Gadget X,Electronics,2,274.42,548.84,Central,Bob Smith,Q2,April,2025,0.0
TXN_807764,2025-04-20,Customer_083,Tool Pro,Accessories,4,19.15,76.6,Central,Alice Johnson,Q2,April,2025,0.0
TXN_130359,2025-07-28,Customer_024,Tool Lite,Tools,4,98.14,392.56,East,Carol Davis,Q3,July,2025,0.0
TXN_250210,2024-09-17,Customer_073,Widget A,Electronics,1,151.66,151.66,West,Alice Johnson,Q3,September,2024,12.7
TXN_656251,2023-10-25,Customer_028,Widget A,Accessories,4,130.29,521.15,West,David Wilson,Q4,October,2023,0.0
TXN_856648,2024-03-03,Customer_042,Gadget X,Tools,2,377.24,754.47,Central,Eva Brown,Q1,March,2024,1.1
TXN_806707,2024-03-03,Customer_011,Tool Pro,Electronics,2,355.42,710.84,East,David Wilson,Q1,March,2024,0.0
TXN_534303,2025-02-02,Customer_035,Tool Pro,Tools,2,82.0,164.01,South,Eva Brown,Q1,February,2025,8.6
TXN_721946,2024-07-10,Customer_063,Tool Lite,Accessories,5,24.33,121.63,Central,Carol Davis,Q3,July,2024,7.9
TXN_314353,2025-05-29,Customer_039,Widget A,Electronics,1,1157.06,1157.06,South,Bob Smith,Q2,May,2025,0.0
TXN_108105,2024-07-16,Customer_064,Gadget X,Electronics,1,740.68,740.68,West,Bob Smith,Q3,July,2024,10.7
TXN_973835,2024-05-16,Customer_086,Tool Pro,Accessories,3,44.15,132.46,East,Alice Johnson,Q2,May,2024,0.0
TXN_582087,2023-11-06,Customer_010,Gadget Y,Electronics,3,209.26,627.79,East,Eva Brown,Q4,November,2023,0.0
TXN_537983,2024-11-11,Customer_038,Tool Lite,Accessories,5,60.04,300.18,North,David Wilson,Q4,November,2024,6.5
TXN_479430,2025-06-17,Customer_012,Gadget Y,Accessories,7,15.41,107.84,West,Alice Johnson,Q2,June,2025,11.8
TXN_425346,2025-03-13,Customer_096,Widget A,Tools,4,80.44,321.74,East,Bob Smith,Q1,March,2025,0.0
TXN_763984,2024-03-14,Customer_015,Widget A,Accessories,3,206.65,619.94,Central,Eva Brown,Q1,March,2024,15.5
TXN_954628,2024-09-17,Customer_019,Tool Lite,Accessories,8,49.66,397.24,South,Alice Johnson,Q3,September,2024,3.9
TXN_179013,2025-06-01,Customer_023,Widget B,Accessories,1,69.28,69.28,West,David Wilson,Q2,June,2025,0.0
TXN_691912,2025-05-09,Customer_083,Gadget Y,Accessories,3,221.94,665.83,Central,Carol Davis,Q2,May,2025,0.0
TXN_561124,2025-06-27,Customer_009,Gadget X,Electronics,5,121.89,609.46,West,David Wilson,Q2,June,2025,0.0
TXN_469038,2024-07-01,Customer_065,Tool Pro,Electronics,1,87.86,87.86,North,Carol Davis,Q3,July,2024,0.0
TXN_972097,2023-11-01,Customer_037,Widget A,Tools,6,94.91,569.44,North,Alice Johnson,Q4,November,2023,0.0
TXN_708519,2025-02-24,Customer_071,Gadget Y,Tools,7,133.81,936.68,North,David Wilson,Q1,February,2025,0.0
TXN_437145,2025-05-01,Customer_078,Tool Lite,Electronics,2,119.5,239.01,West,Eva Brown,Q2,May,2025,1.2
TXN_188425,2024-01-07,Customer_065,Gadget X,Accessories,1,101.03,101.03,South,Alice Johnson,Q1,January,2024,8.8
TXN_739427,2024-12-16,Customer_021,Tool Pro,Accessories,4,28.44,113.77,East,Carol Davis,Q4,December,2024,0.0
TXN_811875,2024-10-24,Customer_077,Gadget Y,Tools,5,24.12,120.62,North,Carol Davis,Q4,October,2024,1.9
TXN_364236,2025-08-18,Customer_093,Gadget Y,Tools,3,158.83,476.49,Central,Bob Smith,Q3,August,2025,0.0
TXN_466813,2025-05-12,Customer_040,Tool Lite,Electronics,1,528.11,528.11,West,Bob Smith,Q2,May,2025,0.0
TXN_494976,2023-12-19,Customer_083,Gadget X,Accessories,2,138.63,277.27,East,Bob Smith,Q4,December,2023,0.0
TXN_777406,2025-08-25,Customer_086,Tool Pro,Electronics,4,496.8,1987.2,West,Eva Brown,Q3,August,2025,0.0
TXN_324597,2024-09-29,Customer_044,Gadget X,Electronics,2,61.43,122.85,West,Bob Smith,Q3,September,2024,2.8
TXN_632351,2023-12-12,Customer_099,Gadget X,Electronics,3,280.11,840.32,Central,Eva Brown,Q4,December,2023,6.7
TXN_495019,2025-06-17,Customer_020,Widget B,Accessories,6,46.79,280.75,South,Bob Smith,Q2,June,2025,0.0
TXN_558933,2025-06-24,Customer_006,Widget B,Accessories,1,723.28,723.28,West,Carol Davis,Q2,June,2025,0.0
TXN_398768,2024-05-24,Customer_097,Gadget Y,Accessories,2,50.78,101.56,West,Bob Smith,Q2,May,2024,0.0
TXN_485709,2024-08-05,Customer_087,Gadget Y,Electronics,2,97.12,194.24,Central,David Wilson,Q3,August,2024,0.0
TXN_653081,2024-07-08,Customer_054,Gadget Y,Accessories,5,79.37,396.86,South,Bob Smith,Q3,July,2024,0.0
TXN_772324,2024-02-12,Customer_062,Gadget X,Electronics,8,132.4,1059.18,East,Eva Brown,Q1,February,2024,0.0
TXN_398910,2025-09-21,Customer_011,Tool Pro,Electronics,4,290.33,1161.32,South,Carol Davis,Q3,September,2025,0.0
